text,spam,processed_text
"project richard , i would like to inform you that we decided against participation in your project . thanks for your interest in having enron involved in the study . vince kaminski",0,project richard would like inform decided participation project thanks interest enron involved study vince kaminski
"re : visit to houston and vince kaminski ' s research group vince - thanks for the note . i ' ll mention downtown for sure when making a reservation . shijie on fri , 30 jun 2000 , vince j kaminski wrote : > > > shijie , > > a note : in both cases makes a reservation explicitly at a downtown hotel . > there are hotels with the same names elsewhere in houston . > > vince > > > > - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 06 / 30 / 2000 02 : 44 > pm - - - - - - - - - - - - - - - - - - - - - - - - - - - > > > shirley crenshaw > 06 / 30 / 2000 02 : 25 pm > > to : shijie deng @ enron > cc : ( bcc : vince j kaminski / hou / ect ) > subject : re : visit to houston and vince kaminski ' s research group ( document > link : vince j kaminski ) > > shijie : > > i spoke with vince and he said friday the 28 th of july would be fine for > your visit to enron . > > please let me know your itinerary when you have it confirmed . there > are two hotels downtown houston , the doubletree and the hyatt regency > that are very close to the enron bldg . > > if you need help with anything , please let me know . > > look forward to having you at enron . > > regards , > > shirley crenshaw > > > > > > > > > shijie deng on 06 / 30 / 2000 10 : 15 : 43 am > > to : shirley crenshaw > cc : > subject : re : visit to houston and vince kaminski ' s research group > > > > shirley , > > thank you for your message . i ' m fine with 7 / 28 ( friday ) . i could fly in > to houston early evening on 7 / 27 . please let me know after you confirm > the date with vince . thanks ! > > shijie > > shi - jie deng > assistant professor > school of isye > georgia institute of technology > > office phone : ( 404 ) 894 - 6519 > e - mail : deng @ isye . gatech . edu > home page : http : / / www . isye . gatech . edu / ~ deng > > on fri , 30 jun 2000 , shirley crenshaw wrote : > > > > > > > good morning professor deng : > > > > i am vince kaminski ' s assistant and he has asked me to coordinate your > > visit to enron . the last week in july would be best for vince and his group . > > especially the 24 th , 26 th , 27 th , or 28 th . tuesday , the 25 th is already > filling > > up . please let me know which day would work for you . > > > > best regards , > > > > shirley crenshaw > > administrative coordinator > > enron corp . research group > > 713 / 853 - 5290 > > email : shirley . crenshaw . com > > > > > > > > > > > > > > > > > > > > > >",0,visit houston vince kaminski research group vince thanks note mention downtown sure making reservation shijie fri jun vince j kaminski wrote shijie note cases makes reservation explicitly downtown hotel hotels names elsewhere houston vince forwarded vince j kaminski hou ect pm shirley crenshaw pm shijie deng enron cc bcc vince j kaminski hou ect subject visit houston vince kaminski research group document link vince j kaminski shijie spoke vince said friday th july would fine visit enron please let know itinerary confirmed two hotels downtown houston doubletree hyatt regency close enron bldg need help anything please let know look forward enron regards shirley crenshaw shijie deng shirley crenshaw cc subject visit houston vince kaminski research group shirley thank message fine friday could fly houston early evening please let know confirm date vince thanks shijie shi jie deng assistant professor school isye georgia institute technology office phone e mail deng isye gatech edu home page http www isye gatech edu deng fri jun shirley crenshaw wrote good morning professor deng vince kaminski assistant asked coordinate visit enron last week july would best vince group especially th th th th tuesday th already filling please let know day would work best regards shirley crenshaw administrative coordinator enron corp research group email shirley crenshaw com
"make your rivals envy lt is really hard to recollect a company : the market is full of sugqestions and the information isoverwheiminq ; but a good catchy logo , styllsh stationery and outstanding website wili make the task much easier . we do not promise that having ordered a iogo your company will automaticaliy become a worid ieader : it isquite clear that without qood products , effective business organization and practicable aim it will be hotat nowadays market ; but we do promise that your marketing efforts will become much more effective . here is the list of clear benefits : creativeness : hand - made , original logos , specially done to reflect your distinctive company image . convenience : logo and stationery are provided in all formats ; easy - to - use content management system letsyou change your website content and even its structure . promptness : you will see logo drafts within three business days . affordability : your marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction guaranteed : we provide unlimited amount of changes with no extra fees for you to be surethat you will love the result of this collaboration . have a look at our portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1,make rivals envy lt really hard recollect company market full sugqestions information isoverwheiminq good catchy logo styllsh stationery outstanding website wili make task much easier promise ordered iogo company automaticaliy become worid ieader isquite clear without qood products effective business organization practicable aim hotat nowadays market promise marketing efforts become much effective list clear benefits creativeness hand made original logos specially done reflect distinctive company image convenience logo stationery provided formats easy use content management system letsyou change website content even structure promptness see logo drafts within three business days affordability marketing break make gaps budget satisfaction guaranteed provide unlimited amount changes extra fees surethat love result collaboration look portfolio interested
save your money buy getting this thing here you have not tried cialls yet ? than you cannot even imagine what it is like to be a real man in bed ! the thing is that a great errrectlon is provided for you exactiy when you want . cialis has a lot of advantages over viagra - the effect lasts 36 hours ! - you are ready to start within just 10 minutes ! - you can mix it with aicohol ! we ship to any country ! get it right now ! .,1,save money buy getting thing tried cialls yet even imagine like real man bed thing great errrectlon provided exactiy want cialis lot advantages viagra effect lasts hours ready start within minutes mix aicohol ship country get right
"monday ' s newsletter hello vince ! i ' m working with michael sergeev to produce this next issue of the newsletter . do you have a suggestion for the kaminski column on page one ? if so , please tell me what you ' d like to use and i ' ll get it ready either today or monday morning . at some point , when you have a couple of minutes , we should sit down and talk about your philosophy regarding the newsletter and what you would like to see in the future . i ' d like to get a little creative with it once i know your thoughts on this . best regards , sam p . s . - note that i am "" william smith "" in the lotus notes system . there is also a "" will smith "" that works in it . we forward each other ' s mail all the time ! : - ) ss",0,monday newsletter hello vince working michael sergeev produce next issue newsletter suggestion kaminski column page one please tell like use get ready either today monday morning point couple minutes sit talk philosophy regarding newsletter would like see future like get little creative know thoughts best regards sam p note william smith lotus notes system also smith works forward mail time ss
"localized software , all languages available . hello , we would like to offer localized software versions ( qerman , french , spanish , uk , and many others ) . ali iisted software is avaiiabie for immediate download ! no need to wait 2 - 3 week for cd delivery ! just few examples : - norton lnternet security pro 2005 - $ 29 . 95 - windows xp professionai with sp 2 fuii version - $ 59 . 95 - corei draw graphics suite 12 - $ 49 . 95 - dreamweaver mx 2004 ( homesite 5 . 5 includinq ) - $ 39 . 95 - macromedia studio mx 2004 - $ 119 . 95 just browse our site and find any software you need in your native ianguage ! best reqards , melynda",1,localized software languages available hello would like offer localized software versions qerman french spanish uk many others ali iisted software avaiiabie immediate download need wait week cd delivery examples norton lnternet security pro windows xp professionai sp fuii version corei draw graphics suite dreamweaver mx homesite includinq macromedia studio mx browse site find software need native ianguage best reqards melynda
"panel session at 2001 pes summer meeting vince and vasant , i was asked by one of my advisors to be on a panel for the summer power engineering society . i stated that i couldn ' t divulge any information on modeling efforts at enron but could give a general overview and cover my dissertation work . he stated that he understood and other companies had expressed similar concerns . i guess that i need your ok to attend this presentation and present . thanks , lance - - - - - - - - - - - - - - - - - - - - - - forwarded by lance cunningham / na / enron on 03 / 27 / 2001 10 : 24 am - - - - - - - - - - - - - - - - - - - - - - - - - - - "" martin l . baughman "" on 03 / 27 / 2001 08 : 59 : 35 am to : shams . siddiqi @ lcra . org , harry . singh @ neg . pge . com , lance . cunningham @ enron . com , rosenberg @ hotmail . com , "" camporeale , robert "" cc : baran @ eos . ncsu . edu , liu @ ee . washington . edu subject : panel session at 2001 pes summer meeting gentlemen : thank you for agreeing to participate on the panel . to comply with the quality control requirements of the society i must request from each of you the following : 1 . name , affiliation , and title of presentation as you want it listed in program . 2 . a 2 - 6 summary of the presentation . these summaries will appear in the proceedings . many speakers simply provide a few powerpoint slides that contain this information , or alternatively , a few paragraphs of text summarizing the points they intend to make in their presentations . please provide this information to me by april 2 . here is the status of the panel so far . title : power trading and asset management : tools of the trade requested day and time : wed july 18 morning session summary a number of sophisticated anlytical tools are used in support power trading and asset management activities . these include various time - series , stochastic , and physical models of quantities and prices , portfolio and risk analysis tools , and other risk management tools . in this panel , the analytical approaches are surveyed and discussed . panelists : lance cunningham / confirmed manager , research enron north america micahel rosenberg / confirmed txu shams siddiqi / confirmed lcra harry singh / confirmed director , market economics pg & e national energy group robert camporeale coned energy panel organizer and chair : martin l . baughman ece department the university of texas at austin remember , by april 2 . marty martin l . baughman ece dept . ens 348 the university of texas at austin austin , tx 78712 ph . ( 512 ) 471 - 5376 fax ( 512 ) 471 - 5532",0,panel session pes summer meeting vince vasant asked one advisors panel summer power engineering society stated divulge information modeling efforts enron could give general overview cover dissertation work stated understood companies expressed similar concerns guess need ok attend presentation present thanks lance forwarded lance cunningham na enron martin l baughman shams siddiqi lcra org harry singh neg pge com lance cunningham enron com rosenberg hotmail com camporeale robert cc baran eos ncsu edu liu ee washington edu subject panel session pes summer meeting gentlemen thank agreeing participate panel comply quality control requirements society must request following name affiliation title presentation want listed program summary presentation summaries appear proceedings many speakers simply provide powerpoint slides contain information alternatively paragraphs text summarizing points intend make presentations please provide information april status panel far title power trading asset management tools trade requested day time wed july morning session summary number sophisticated anlytical tools used support power trading asset management activities include various time series stochastic physical models quantities prices portfolio risk analysis tools risk management tools panel analytical approaches surveyed discussed panelists lance cunningham confirmed manager research enron north america micahel rosenberg confirmed txu shams siddiqi confirmed lcra harry singh confirmed director market economics pg e national energy group robert camporeale coned energy panel organizer chair martin l baughman ece department university texas austin remember april marty martin l baughman ece dept ens university texas austin austin tx ph fax
". + . 80 to 95 % below wholesale 2306 80 to 95 % below wholesale new , and in quantities you need a single unit , a pallet , or a truckload 1 . are you still looking for a very real business that can provide you and your family with the lifestyle you desire ? or , just a second income in your spare time ? 2 . would you invest $ 66 . 50 ( a 33 % discount off of our regular price of $ 99 . 95 during this limited time promotion . ) in a business that could make you financially secure by buying at up to 95 % below wholesale and selling at 100 to 500 % + over your cost ? if so , read on : this is not a get rich quick scheme , but , it is a way for you to get into a business with a minimal investment and , may be your first step towards a rewarding first , or second income . for the longest time , only those , who were able to make large investments were able to take advantage of this type of a business . we have made it possible for everyone to do it , and at a price everyone can afford . corporate america has conditioned us to believe that security comes from employment . yet layoffs are hitting an all time high , major corporations are failing and we hope to never become the victims of this downsizing , career burn out , illness or injury . there was a time , when finding another job was not a problem , but today , the frightening reality for a lot of people is that the plastic in their wallets determines the quality of their lives . the hard facts show that our economy has moved from the industrial age into the information , service and retail age . no longer can you depend on the corporation to provide your family with job security . we all need a backup plan . if you are tired of living from paycheck to paycheck , and are willing to work a few hours per week , than this may be for you . please read further : we will show you how you can buy , new , not out of date , products for pennies on the wholesale dollar . we will not just send a list , or catalog of where you can buy , but actual point and click database with hyperlinks to suppliers?ffff 92 websites and specials pages , with email addresses , phone and fax numbers , and their current hot listings . unlike others?ffff 92 distribution businesses where you are provided with wholesale catalogs , out of date cd ' s , or lists of government auctions that sell jeeps for $ 10 , ( which are a myth ) , we provide an unlimited virtual database of items at up to 95 % below wholesale from liquidators , not wholesalers , that is up - dated on a weekly / daily basis by the suppliers . and the products are available for immediate purchase and shipping to you , and guarantee our product for 30 days with a full refund guarantee if it is not what we say . this database is designed for the individual or a small business . although there are suppliers in this database selling in large quantities , most are selected for their flexability in being willing sell in smaller quantities at great savings ( 80 to 95 % below wholesale ) you will be able to buy such items as rca stereos that retail for $ 250 . 00 + for $ 10 to $ 20 . 00 , new boom boxes for $ 12 . 50 each , palm pilots for $ 39 . 00 , cell phone antenna boosters that sell on tv for $ 19 . 95 - - for . 16 cents , perfect pancake makers as seen on tv for $ 19 . 95 , for $ 6 . 50 , cd?ffff 92 s for $ 0 . 75 each , pentium computers for as little as $ 11 . 00 , or computer software that retails up to $ 74 . 99 for $ 0 . 50 each . if you would like to see some sample listings and featured specials , please email us at moreof 80 to 95 @ themail . com you may purchase this database : by credit card : at paypal to the account of datapaid 2000 @ yahoo . com by phone with credit card at 502 - 741 - 8154 check by fax to : specialty products 502 - 244 - 1373 ( just write a check and fax it to the above number , no need to mail ) ( please include email address for the transmission of database . ) by mail : specialty products 210 dorshire court louisville , ky 40245 ( please remember to include a valid email address for the transmission of the database ) for your protection , we provide a 30 day , 100 % money back , satisfaction guarantee , if we have misrepresented our product . what do you get for your $ 66 . 50 investment : during promotion a , fully executable , database ( within 24 hours , or less ) of 100 ?ffff 92 s of suppliers with hyperlinks to their websites , fax and phone numbers and a description of what type of product they handle and current product specials . and , on - going telephone support during normal business hours . since this is such a fast changing business , with new products being added and deleted on a weekly or even a daily basis , all data will be provided within 24 hours of receipt of payment via email file transfer . ( no waiting or shipping and handling costs ) the $ 66 . 50 is your total one time cost . ( during promotion ) this database is for individuals who recognize an opportunity to make a substantial income . keep in mind , everyone likes a bargain , and even more so when the economy is down . so , even if you just want to buy for your own use , a single purchase could repay your initial investment . and , remember we provide a 30 day , full refund satisfaction guarantee . we know that this has been a brief description , and you may want additional information . you may email us at moreof 80 to 95 @ themail . com for additional information and a sample of listings currently being offered by various suppliers . ( if you give us some idea of what types of products interest you , we will try to include some sample listings of those products . ) we look forward to being of service in your new venture . specialty products",1,wholesale wholesale new quantities need single unit pallet truckload still looking real business provide family lifestyle desire second income spare time would invest discount regular price limited time promotion business could make financially secure buying wholesale selling cost read get rich quick scheme way get business minimal investment may first step towards rewarding first second income longest time able make large investments able take advantage type business made possible everyone price everyone afford corporate america conditioned us believe security comes employment yet layoffs hitting time high major corporations failing hope never become victims downsizing career burn illness injury time finding another job problem today frightening reality lot people plastic wallets determines quality lives hard facts show economy moved industrial age information service retail age longer depend corporation provide family job security need backup plan tired living paycheck paycheck willing work hours per week may please read show buy new date products pennies wholesale dollar send list catalog buy actual point click database hyperlinks suppliers ffff websites specials pages email addresses phone fax numbers current hot listings unlike others ffff distribution businesses provided wholesale catalogs date cd lists government auctions sell jeeps myth provide unlimited virtual database items wholesale liquidators wholesalers dated weekly daily basis suppliers products available immediate purchase shipping guarantee product days full refund guarantee say database designed individual small business although suppliers database selling large quantities selected flexability willing sell smaller quantities great savings wholesale able buy items rca stereos retail new boom boxes palm pilots cell phone antenna boosters sell tv cents perfect pancake makers seen tv cd ffff pentium computers little computer software retails would like see sample listings featured specials please email us moreof themail com may purchase database credit card paypal account datapaid yahoo com phone credit card check fax specialty products write check fax number need mail please include email address transmission database mail specialty products dorshire court louisville ky please remember include valid email address transmission database protection provide day money back satisfaction guarantee misrepresented product get investment promotion fully executable database within hours less ffff suppliers hyperlinks websites fax phone numbers description type product handle current product specials going telephone support normal business hours since fast changing business new products added deleted weekly even daily basis data provided within hours receipt payment via email file transfer waiting shipping handling costs total one time cost promotion database individuals recognize opportunity make substantial income keep mind everyone likes bargain even economy even want buy use single purchase could repay initial investment remember provide day full refund satisfaction guarantee know brief description may want additional information may email us moreof themail com additional information sample listings currently offered various suppliers give us idea types products interest try include sample listings products look forward service new venture specialty products
"re : real options hi navroz having presented my real options work at a recent conference , i think i can see my way clear to producing a much reduced version ( 3 or 4 pages ) of my "" diagrammatic real options "" paper . would risk still be interested in such a shortened article ? cheers , steve enron capital & trade resources corp . from : "" navroz patel "" 05 / 23 / 2000 11 : 37 am please respond to "" navroz patel "" to : cc : subject : real options steven , after further consultation with the technical editor , we feel that your work would find a more suitable environment for exposure in the journal of risk . ? if you email a copy of your work ( to the editor - in - chief , philippe jorion ) and outline what has happened to : ? ? pjorion @ uci . edu ? then i am sure that they will be keen to give due consideration . ? thank you for your interest and sorry for the delay in coming to this decision . ? best wishes , ? navroz patel , technical assistant , risk magazine . ?",0,real options hi navroz presented real options work recent conference think see way clear producing much reduced version pages diagrammatic real options paper would risk still interested shortened article cheers steve enron capital trade resources corp navroz patel please respond navroz patel cc subject real options steven consultation technical editor feel work would find suitable environment exposure journal risk email copy work editor chief philippe jorion outline happened pjorion uci edu sure keen give due consideration thank interest sorry delay coming decision best wishes navroz patel technical assistant risk magazine
"re : meeting requested i will ask rebekah to try to set it up for monday . kg vince j kaminski @ ect 01 / 05 / 01 01 : 48 pm to : kevin garland / enron communications @ enron communications @ enron cc : rebekah rushing / enron communications @ enron communications , vince j kaminski / hou / ect @ ect subject : re : meeting requested kevin , let ' s meet for lunch next week ( monday of friday would be best ) . we can talk about the project and decide who has the right skills to help you . the person who supports ebs is stinson gibner and his lead person is martin lin . my secretary ' s number is 3 - 5290 ( shirley crenshaw ) . vince to : vince j kaminski / hou / ect @ ect cc : rebekah rushing / enron communications @ enron communications subject : meeting requested vince , i would like to meet with you or someone in your group to discuss some of the investment ideas and structures we are exploring . how is your group structured these days ? who would be best for me to meet ? might you be available for lunch next week ? i will have my assistant contact you . thank , kevin garland",0,meeting requested ask rebekah try set monday kg vince j kaminski ect pm kevin garland enron communications enron communications enron cc rebekah rushing enron communications enron communications vince j kaminski hou ect ect subject meeting requested kevin let meet lunch next week monday friday would best talk project decide right skills help person supports ebs stinson gibner lead person martin lin secretary number shirley crenshaw vince vince j kaminski hou ect ect cc rebekah rushing enron communications enron communications subject meeting requested vince would like meet someone group discuss investment ideas structures exploring group structured days would best meet might available lunch next week assistant contact thank kevin garland
